org,max_slope,r2,intercept
DH_bio3_rep2,2.8869144734510384,0.9871265492405913,20.660325144132532
DH_bio3_rep3,2.820298297449506,0.9813538932181319,17.591070240215746
DH_bio3_rep1,2.672974062061501,0.9790609563602819,21.419365226457685
DH_bio1_rep2,1.6942287069620552,0.9414084340259543,25.667214013478514
DH_bio1_rep3,1.6634827795767337,0.9542797904881076,26.879970038121794
DH_bio1_rep1,1.3278397389536265,0.9691973553786114,25.776105839634862
p083_bio3_rep3,1.314388395722549,0.9790300929729328,4.156808079906641
DH_bio2_rep3,1.252256000798041,0.9055161017099744,33.20637162442121
DH_bio2_rep2,1.0709831372554093,0.9325099458067507,34.82160037907374
DH_bio2_rep1,0.9005994563284125,0.9634016699697844,34.56004648291388
p024_bio3_rep3,0.7206076730935034,0.9176215973231733,4.872077918384634
p017_bio2_rep1,0.7001103881699544,0.9924161009709705,2.9807763574180424
p017_bio3_rep2,0.6879401252465971,0.9696497923636911,4.9905778468489
p017_bio2_rep2,0.6815347237079893,0.984585413369049,3.809421803129411
p017_bio3_rep1,0.681534723707989,0.9670413776608469,5.1993939370075495
p095_bio3_rep3,0.6578347380151355,0.9394422168813488,4.075672993750927
p023_bio3_rep2,0.6507887963226655,0.9176424571072984,4.029767616057564
p095_bio3_rep2,0.6174807083218998,0.9081719211148681,2.910743967262582
p017_bio1_rep1,0.6161996280141769,0.9168682258607821,5.4464289230132374
p017_bio1_rep2,0.600826664321516,0.9585053380782919,5.4250775845512065
p017_bio2_rep3,0.5963428832444903,0.9630410266381492,4.342991751295538
p024_bio3_rep2,0.5912185620136028,0.9411933455472798,4.577642960993247
p095_bio3_rep1,0.5841726203211336,0.9136295732153841,3.709284025742494
p079_bio2_rep1,0.5649564157053066,0.945,3.495557127737576
p083_bio3_rep1,0.5386942693970097,0.9669992776591598,4.560348376839
p079_bio3_rep2,0.5284456269352356,0.9578735032310272,5.101604806851454
p047_bio3_rep3,0.527805086781375,0.9404968141102594,3.4806111908141553
p083_bio3_rep2,0.5079483420116868,0.918611088793613,4.016956812980344
p079_bio2_rep2,0.49898077985763445,0.9813954992762939,4.330821488372179
p047_bio1_rep2,0.4650321517030069,0.9654231741418682,4.783896890536455
p079_bio3_rep1,0.4643916115491464,0.941814315876235,4.834713076076082
p047_bio2_rep1,0.4618294509337026,0.9703987629853866,5.507280237630019
p023_bio2_rep3,0.4522213486257895,0.9691290652909381,4.690378028072762
p047_bio2_rep2,0.45158080847192883,0.9314590562814101,2.7700386467978064
p094_bio3_rep2,0.449659188010346,0.9628964816527501,4.070335159135419
p024_bio1_rep3,0.42211596139432755,0.914125039028651,4.085921636212699
p079_bio1_rep2,0.4201943409327445,0.9678301547319179,3.9227974103627954
p095_bio2_rep1,0.41827272047116226,0.962711520009031,4.704896938226942
p023_bio3_rep1,0.4061024575478051,0.965513155155572,5.1844480000841315
p094_bio3_rep3,0.39072949385514405,0.9796745826970673,4.048983820673387
p024_bio1_rep1,0.3811213915472307,0.9004183852111216,4.274240441447801
p023_bio1_rep3,0.38112139154723035,0.9575878064943673,5.410131647627785
p094_bio3_rep1,0.38112139154723007,0.9271593999205597,4.969226508386873
p083_bio1_rep2,0.37855923093178706,0.9070859393598372,-0.044921816036192046
EV_bio1_rep3,0.377918690777926,0.96310984045006,4.35217282683421
p094_bio1_rep1,0.3759970703163433,0.973290021891109,5.428066771935889
EV_bio3_rep1,0.36895112862387325,0.9549342799577855,4.831510375306779
EV_bio3_rep3,0.3644673475468472,0.9546576372473374,4.928658965309014
p079_bio1_rep1,0.3625457270852648,0.9211985277202667,3.7376813058969938
p047_bio1_rep1,0.35357816493121214,0.987204630869584,5.6620774414797355
p047_bio1_rep3,0.3535781649312119,0.9160173160173167,5.353764114088028
p024_bio2_rep1,0.3497349240080467,0.9251556842867491,3.7615948049744694
p024_bio2_rep2,0.3490943838541863,0.9815817447771801,3.5440246660463823
p047_bio2_rep3,0.33948628154627214,0.9830615244627985,4.820834706075766
p023_bio2_rep2,0.328597098930637,0.9425204887453662,5.847834086099395
p023_bio3_rep3,0.3273160186229154,0.9356548639270937,4.982677851617953
p079_bio3_rep3,0.32603493831519337,0.9591388959159877,5.488064033014194
p047_bio3_rep2,0.32283223754588974,0.9114534494306765,4.940829228232366
p024_bio2_rep3,0.32091061708430685,0.9924976439807828,4.0216541074419885
p083_bio2_rep1,0.3202700769304454,0.9268413247652002,5.4336181199360185
p094_bio2_rep2,0.31514575569955894,0.9501897260094729,5.004456216849215
p024_bio1_rep2,0.3087403541609493,0.9439460425808542,4.581272688531793
p023_bio1_rep2,0.307459273853228,0.9320639715202673,5.388780309165754
p023_bio1_rep1,0.3074592738532276,0.9304830111464112,5.145375050698618
EV_bio3_rep2,0.3048971132377841,0.9886377519853388,4.737564486073849
p047_bio3_rep1,0.30233495262234156,0.9275194981820201,4.9775535303870555
p094_bio1_rep3,0.29977279200689744,0.9132849637227921,5.369777617934546
p017_bio1_rep3,0.2991322518530363,0.991321146372321,5.480377551167863
p083_bio1_rep1,0.29016468969898385,0.9298167181446768,4.532805150222981
p079_bio2_rep3,0.2888836093912621,0.9078037713393088,4.186272926984241
EV_bio2_rep3,0.2709484850831569,0.9422357577300126,4.4860457189911385
p094_bio2_rep3,0.2664647040061305,0.9220146337998157,4.953853544694215
p079_bio1_rep3,0.2651836236984093,0.9888991460881604,3.607651654663233
EV_bio2_rep1,0.24981066000574714,0.979058490323134,4.344699858372502
p094_bio2_rep1,0.1556512573881969,0.9220883325091749,6.089958264258807
