time,variable,value,sample
0h,p006_DEET,18.272300000000001,active_enzyme
3h,p006_DEET,22.294699999999999,active_enzyme
5h,p006_DEET,20.4056,active_enzyme
24h,p006_DEET,22.2135,active_enzyme
48h,p006_DEET,21.4603,active_enzyme
0h,p006_3MB,0,active_enzyme
3h,p006_3MB,0,active_enzyme
5h,p006_3MB,0,active_enzyme
24h,p006_3MB,0,active_enzyme
48h,p006_3MB,0,active_enzyme
0h,p006_MB,12.6852,active_enzyme
3h,p006_MB,11.385400000000001,active_enzyme
5h,p006_MB,8.9380000000000006,active_enzyme
24h,p006_MB,1.6889000000000001,active_enzyme
48h,p006_MB,0,active_enzyme
0h,p006_B,0,active_enzyme
3h,p006_B,1.7148000000000001,active_enzyme
5h,p006_B,2.6734,active_enzyme
24h,p006_B,9.5957000000000008,active_enzyme
48h,p006_B,15.147399999999999,active_enzyme
0h,DH_DEET,16.996400000000001,active_enzyme
3h,DH_DEET,0,active_enzyme
5h,DH_DEET,0,active_enzyme
24h,DH_DEET,0,active_enzyme
48h,DH_DEET,0,active_enzyme
0h,DH_3MB,0,active_enzyme
3h,DH_3MB,17.110499999999998,active_enzyme
5h,DH_3MB,18.723299999999998,active_enzyme
24h,DH_3MB,20.235299999999999,active_enzyme
48h,DH_3MB,19.763400000000001,active_enzyme
0h,DH_MB,8.9016999999999999,active_enzyme
3h,DH_MB,0,active_enzyme
5h,DH_MB,0,active_enzyme
24h,DH_MB,0,active_enzyme
48h,DH_MB,0,active_enzyme
0h,DH_B,0,active_enzyme
3h,DH_B,11.492800000000001,active_enzyme
5h,DH_B,15.5639,active_enzyme
24h,DH_B,18.991499999999998,active_enzyme
48h,DH_B,16.4389,active_enzyme
0h,DH_DEET,20.508199999999999,boiled_enzyme
3h,DH_DEET,22.660699999999999,boiled_enzyme
5h,DH_DEET,22.6173,boiled_enzyme
24h,DH_DEET,23.417999999999999,boiled_enzyme
48h,DH_DEET,17.6706,boiled_enzyme
0h,DH_3MB,0,boiled_enzyme
3h,DH_3MB,0,boiled_enzyme
5h,DH_3MB,0,boiled_enzyme
24h,DH_3MB,0,boiled_enzyme
48h,DH_3MB,0,boiled_enzyme
0h,DH_MB,14.500500000000001,boiled_enzyme
3h,DH_MB,14.4772,boiled_enzyme
5h,DH_MB,13.556800000000001,boiled_enzyme
24h,DH_MB,13.491199999999999,boiled_enzyme
48h,DH_MB,15.1309,boiled_enzyme
0h,DH_B,0,boiled_enzyme
3h,DH_B,0,boiled_enzyme
5h,DH_B,0,boiled_enzyme
24h,DH_B,0,boiled_enzyme
48h,DH_B,0,boiled_enzyme
0h,DH_DEET,21.805700000000002,boiled_enzyme
3h,DH_DEET,21.718800000000002,boiled_enzyme
5h,DH_DEET,22.2867,boiled_enzyme
24h,DH_DEET,18.858799999999999,boiled_enzyme
48h,DH_DEET,20.776,boiled_enzyme
0h,DH_3MB,0,boiled_enzyme
3h,DH_3MB,0,boiled_enzyme
5h,DH_3MB,0,boiled_enzyme
24h,DH_3MB,0,boiled_enzyme
48h,DH_3MB,0,boiled_enzyme
0h,DH_MB,10.5502,boiled_enzyme
3h,DH_MB,12.309900000000001,boiled_enzyme
5h,DH_MB,12.1081,boiled_enzyme
24h,DH_MB,12.0791,boiled_enzyme
48h,DH_MB,12.171900000000001,boiled_enzyme
0h,DH_B,0,boiled_enzyme
3h,DH_B,0,boiled_enzyme
5h,DH_B,0,boiled_enzyme
24h,DH_B,0,boiled_enzyme
48h,DH_B,0,boiled_enzyme
